접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2018,11200,성동구,10700,행당동,1,대지,377,0,23.0,20171130,전세,84.06,67000,0,서울숲더샵,2014.0,아파트,성동구 행당동 377,37.5551334,127.0403659,797.05,241.11
2013,11350,노원구,10500,상계동,1,대지,1258,0,14.0,20130930,월세,23.37,500,45,오피앙,2004.0,오피스텔,노원구 상계동 1258,37.6802697,127.0548888,21.39,6.47
2022,11740,강동구,10100,명일동,1,대지,336,2,3.0,20220419,전세,36.84,29400,0,청포도하우스,2019.0,연립다세대,강동구 명일동 336-2,37.5484451,127.1445022,798.05,241.41
2020,11500,강서구,10500,마곡동,1,대지,784,11,4.0,20201125,전세,16.57,12880,0,마곡오드카운티1차,2016.0,오피스텔,강서구 마곡동 784-11,37.5638847,126.8395087,777.31,235.14
2014,11740,강동구,10700,암사동,1,대지,509,0,3.0,20140225,전세,59.64,18000,0,선사현대아파트,2000.0,아파트,강동구 암사동 509,37.552396,127.1258146,301.81,91.3
2016,11680,강남구,11800,도곡동,1,대지,527,0,20.0,20160709,전세,85.0,96000,0,도곡렉슬,2006.0,아파트,강남구 도곡동 527,37.4935415,127.0505473,1129.41,341.65
2022,11545,금천구,10100,가산동,1,대지,769,0,4.0,20220704,전세,59.84,30400,0,두산,1998.0,아파트,금천구 가산동 769,37.4760392,126.8917199,508.02,153.68
2019,11410,서대문구,11800,홍은동,1,대지,455,0,13.0,20191019,전세,58.64,26000,0,홍은동벽산,1997.0,아파트,서대문구 홍은동 455,37.5953754,126.9448171,443.38,134.12
2021,11380,은평구,10600,대조동,1,대지,172,101,3.0,20211129,전세,50.94,17000,0,대조월드빌라트(172-101),2002.0,연립다세대,은평구 대조동 172-101,37.6104918,126.9215181,333.73,100.95
2016,11740,강동구,10700,암사동,1,대지,445,14,3.0,20161006,전세,50.18,28000,0,행복한집(445-14),2016.0,연립다세대,강동구 암사동 445-14,37.5563064,127.1347198,557.99,168.79
2018,11200,성동구,10400,도선동,1,대지,268,0,10.0,20180820,월세,20.35,1000,75,렉스오피스텔,2018.0,오피스텔,성동구 도선동 268,37.5632272,127.0329864,49.14,14.86
2020,11500,강서구,10100,염창동,1,대지,244,2,10.0,20201017,전세,59.94,32550,0,삼성한마음,1995.0,아파트,강서구 염창동 244-2,37.5544663,126.8682908,543.04,164.27
